HVP-6.0-SP2p41.1-2199-39494
Interactive ServicesComcast
AdministrationReportsConfigurationuser: Cecil.Tolentino@comcast.wic Logout
Customer Usage
Call
Call ID:	e4009-20180607134023560-680
Application Name:	EIVR QA comcastvxmlapps
Application Description:	EIVR QA comcastvxmlapps
CLID:	8008388383
DNIS:	1490056
Call Date:	Thursday, June 7th 2018
Call Utterance:	
Event Search
Event ID:	  
Parameter:	
 
Events
Time	ID	Param ID	Utterance
13:40:23	sip session	callid=637838625_46582407@10.27.219.50|remote-rtp=10.27.219.10:12534|local-rtp=10.27.217.213:12242|originator=REMOTE	-
13:40:23	call start	ANI=8008388383|DNIS=1490056|VURL=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|outbound=N	-
13:40:23	asr session	asrengine=nuance90-mrcp1-comcast|sessionid=FLBJGNNPAAAECCPJAAAAAAAA|address=10.27.139.146:554|server=Nuance Open Speech Recognizer for MRCPv1|setuptime=0.002|endpoint=10.27.130.171:8994	-
13:40:23	document dump	URL=/opt/holly/client/data/dnis/all.js|fetchtype=script|mimetype=test/javascript	-
13:40:23	note	message=enable full call recording|callrecording=/var/data/holly/data/call/2018/0607/1340/e4009-20180607134023560-680/call.wav	-
13:40:23	document transition	uri=call_initialization|cpu=0.010000|normalcpu=0.010000	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.003|documentsize=195|outcome=success|failover=false|localport=59852|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=75|bytesread=418|byteswritten=217|cachedecision=nc(no expiration)|method=GET	-
13:40:23	document dump	URL=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|fetchtype=vxml|mimetype=text/html	-
13:40:23	document transition	uri=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|cpu=0.010000|normalcpu=0.010000	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/index.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.008|documentsize=11495|outcome=success|failover=false|localport=59854|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=60|bytesread=11854|byteswritten=322|cachedecision=nc(pragma no-cache)|method=GET	-
13:40:23	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/index.php|fetchtype=vxml|mimetype=text/html	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.008|documentsize=5528|outcome=success|failover=false|localport=59856|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=68|bytesread=5803|byteswritten=422|cachedecision=nc(pragma no-cache)|method=GET	-
13:40:23	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html	-
13:40:23	asr session	asrengine=nuance90-mrcp1-comcast-n10|sessionid=FLBJGPCFAAADJCBMAAAAAAAA|address=10.27.131.82:554|server=Nuance Open Speech Recognizer for MRCPv1|setuptime=0.007|endpoint=10.27.131.82:8044	-
13:40:23	document transition	uri=http://comcastvxmlapps/clients/comcast/testheader2/index.php|cpu=0.020000|normalcpu=0.020000	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/index.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.007|documentsize=569|outcome=success|failover=false|localport=59860|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=60|bytesread=843|byteswritten=2096|cachedecision=n/a|method=POST	-
13:40:23	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/index.php|fetchtype=vxml|mimetype=text/html	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.007|documentsize=5528|outcome=success|failover=false|localport=59862|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=68|bytesread=5803|byteswritten=422|cachedecision=nc(pragma no-cache)|method=GET	-
13:40:23	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html	-
13:40:23	log	content=FRAMEWORK FILENAME: /wic/wic/wic/wicstd/framework/v.holly.13.20180607	-
13:40:23	log	content=FRAMEWORK LOGDATA: 1528393223,4009,680,20180607,134023,8111490056,8008388383,comcast,,20,Holly,4009,e4009-20180607134023560-680,led32178,8008388383	-
13:40:23	document transition	uri=http://comcastvxmlapps/clients/comcast/testheader2/index.php|cpu=0.000000|normalcpu=0.000000	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/dev/start.vxml.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.041|documentsize=90012|outcome=success|failover=false|localport=59864|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=69|bytesread=90386|byteswritten=518|cachedecision=n/a|method=POST	-
13:40:23	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/dev/start.vxml.php|fetchtype=vxml|mimetype=text/html	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.008|documentsize=5528|outcome=success|failover=false|localport=59866|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=68|bytesread=5803|byteswritten=422|cachedecision=nc(pragma no-cache)|method=GET	-
13:40:23	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/voice/Greeting.wav|fetchtype=audio|mimetype=audio/x-wav|incache=true|latency=0.000|documentsize=23836|outcome=success|failover=false|hostname=comcastvxmlapps|urilength=69|cachedecision=in(Last Modified)	-
13:40:23	prompt	type=external|URI=http://comcastvxmlapps/clients/comcast/testheader2/voice/Greeting.wav|outcome=success	-
13:40:23	fetch	uri=http://comcastvxmlapps/ecmascripts/wicstd/dynocat.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.005|documentsize=108953|outcome=success|failover=false|localport=59868|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=52|bytesread=109203|byteswritten=462|cachedecision=ca(vxml maxage)(Last Modified)|method=GET	-
13:40:23	document dump	URL=http://comcastvxmlapps/ecmascripts/wicstd/dynocat.js|fetchtype=script|mimetype=application/javascript	-
13:40:23	log	expr=WicStdPromptAndCollect version 1.11.0.1 (20160624)	-
13:40:23	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/voice/AccessCode.wav|fetchtype=audio|mimetype=audio/x-wav|incache=true|latency=0.000|documentsize=35942|outcome=success|failover=false|hostname=comcastvxmlapps|urilength=71|cachedecision=in(Last Modified)	-
13:40:23	prompt	type=external|URI=http://comcastvxmlapps/clients/comcast/testheader2/voice/AccessCode.wav|outcome=success	-
13:40:23	recognition start	inputmodes=dtmf,voice|threshold=20|timeout=5.000|bargeintype=speech|completetimeout=1.500|incompletetimeout=1.500|interdigittimeout=5.000|termtimeout=0.000|termchar=#	-
13:40:31	recognition end	result=success|inputmode=dtmf|utterance=0 0 1 8|confidence=100|grammar=Grammar_0|bargein=false|recordutterances=N	-
13:40:31	NUANCE	WEST_CALL_DATA=1528393223,4009,680,20180607,134023,8111490056,8008388383	-
13:40:31	log	expr=WicStdFormValue = 0018	-
13:40:31	log	expr=WicStdFormConfidence = 100	-
13:40:31	log	expr=WicStdFormUtterance = 0 0 1 8	-
13:40:31	log	expr=WicStdFormInputMode = dtmf	-
13:40:31	log	expr=WicStdCompleteNBestStr = +AskCue:0018^^^1^^^0 0 1 8^^^dtmf	-
13:40:31	log	expr=Summary : OK,0018,0,0,dtmf,100,undefined	-
13:40:31	log	expr=WicStdPromptAndCollect END	-
13:40:31	log	content=*********** PnC WicStd Variables *****************	-
13:40:31	log	content= WicStdResult is: OK	-
13:40:31	log	content= WicStdFormValue is: 0018	-
13:40:31	log	content=WicStdFormNomatchCount is: 0	-
13:40:31	log	content=WicStdFormNoinputCount is: 0	-
13:40:31	log	content= WicStdFormFailCount is: 0	-
13:40:31	log	content= WicStdFormInputMode is: dtmf	-
13:40:31	log	content= WicStdError is: undefined	-
13:40:31	fetch	uri=http://comcastvxmlapps/ecmascripts/wicstd/dynocat.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.006|documentsize=108953|outcome=success|failover=false|localport=59874|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=52|bytesread=109203|byteswritten=462|cachedecision=ca(vxml maxage)(Last Modified)|method=GET	-
13:40:31	document dump	URL=http://comcastvxmlapps/ecmascripts/wicstd/dynocat.js|fetchtype=script|mimetype=application/javascript	-
13:40:31	log	expr=WicStdPromptAndCollect version 1.11.0.1 (20160624)	-
13:40:31	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/voice/Password.wav|fetchtype=audio|mimetype=audio/x-wav|incache=true|latency=0.000|documentsize=29148|outcome=success|failover=false|hostname=comcastvxmlapps|urilength=69|cachedecision=in(Last Modified)	-
13:40:31	prompt	type=external|URI=http://comcastvxmlapps/clients/comcast/testheader2/voice/Password.wav|outcome=success	-
13:40:31	system response	latency=0.032	-
13:40:31	recognition start	inputmodes=dtmf,voice|threshold=20|timeout=5.000|bargeintype=speech|completetimeout=1.500|incompletetimeout=1.500|interdigittimeout=5.000|termtimeout=0.000|termchar=#	-
13:40:34	recognition end	result=success|inputmode=dtmf|utterance=0 6 2 6|confidence=100|grammar=Grammar_0|bargein=false|recordutterances=N	-
13:40:34	log	expr=WicStdFormValue = 0626	-
13:40:34	log	expr=WicStdFormConfidence = 100	-
13:40:34	log	expr=WicStdFormUtterance = 0 6 2 6	-
13:40:34	log	expr=WicStdFormInputMode = dtmf	-
13:40:34	log	expr=WicStdCompleteNBestStr = +AskCue:0626^^^1^^^0 6 2 6^^^dtmf	-
13:40:34	log	expr=Summary : OK,0626,0,0,dtmf,100,undefined	-
13:40:34	log	expr=WicStdPromptAndCollect END	-
13:40:34	log	content=*********** PnC WicStd Variables *****************	-
13:40:34	log	content= WicStdResult is: OK	-
13:40:34	log	content= WicStdFormValue is: 0626	-
13:40:34	log	content=WicStdFormNomatchCount is: 0	-
13:40:34	log	content=WicStdFormNoinputCount is: 0	-
13:40:34	log	content= WicStdFormFailCount is: 0	-
13:40:34	log	content= WicStdFormInputMode is: dtmf	-
13:40:34	log	content= WicStdError is: undefined	-
13:40:34	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/voice/WelcomeTestHeader.wav|fetchtype=audio|mimetype=audio/x-wav|incache=true|latency=0.000|documentsize=40748|outcome=success|failover=false|hostname=comcastvxmlapps|urilength=78|cachedecision=in(Last Modified)	-
13:40:34	prompt	type=external|URI=http://comcastvxmlapps/clients/comcast/testheader2/voice/WelcomeTestHeader.wav|outcome=success	-
13:40:34	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/voice/testHeaderUnit.wav|fetchtype=audio|mimetype=audio/x-wav|incache=true|latency=0.000|documentsize=25812|outcome=success|failover=false|hostname=comcastvxmlapps|urilength=75|cachedecision=in(Last Modified)	-
13:40:34	prompt	type=external|URI=http://comcastvxmlapps/clients/comcast/testheader2/voice/testHeaderUnit.wav|outcome=success	-
13:40:34	prompt	type=SSML|content=<prosody volume="loud"><say-as interpret-as="digits">4009</say-as></prosody>|language=en-US|outcome=success	-
13:40:34	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/voice/testHeaderLine.wav|fetchtype=audio|mimetype=audio/x-wav|incache=true|latency=0.000|documentsize=27130|outcome=success|failover=false|hostname=comcastvxmlapps|urilength=75|cachedecision=in(Last Modified)	-
13:40:34	prompt	type=external|URI=http://comcastvxmlapps/clients/comcast/testheader2/voice/testHeaderLine.wav|outcome=success	-
13:40:34	prompt	type=SSML|content=<prosody volume="loud"><say-as interpret-as="digits">680</say-as></prosody>|language=en-US|outcome=success	-
13:40:34	fetch	uri=http://comcastvxmlapps/ecmascripts/wicstd/dynocat.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.006|documentsize=108953|outcome=success|failover=false|localport=59878|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=52|bytesread=109203|byteswritten=462|cachedecision=ca(vxml maxage)(Last Modified)|method=GET	-
13:40:34	document dump	URL=http://comcastvxmlapps/ecmascripts/wicstd/dynocat.js|fetchtype=script|mimetype=application/javascript	-
13:40:34	log	expr=WicStdPromptAndCollect version 1.11.0.1 (20160624)	-
13:40:34	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/voice/EnterPhoneNumber.wav|fetchtype=audio|mimetype=audio/x-wav|incache=true|latency=0.000|documentsize=36454|outcome=success|failover=false|hostname=comcastvxmlapps|urilength=77|cachedecision=in(Last Modified)	-
