HVP-6.0-SP2p41.1-2199-39494
Interactive ServicesComcast
AdministrationReportsConfigurationuser: ADDelima@comcast.wic Logout
Customer Usage
Call
Call ID:	e4009-20180607213450757-078
Application Name:	EIVR QA comcastvxmlapps
Application Description:	EIVR QA comcastvxmlapps
CLID:	8008388383
DNIS:	1490056
Call Date:	Thursday, June 7th 2018
Call Utterance:	
Event Search
Event ID:	  
Parameter:	
 
Events
Time	ID	Param ID	Utterance
21:34:50	sip session	callid=637838988_6128301@10.27.219.50|remote-rtp=10.27.219.10:16142|local-rtp=10.27.217.213:13568|originator=REMOTE	-
21:34:50	call start	ANI=8008388383|DNIS=1490056|VURL=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|outbound=N	-
21:34:50	asr session	asrengine=nuance90-mrcp1-comcast|sessionid=FLBJNNBCAAAFNKNKAAAAAAAA|address=10.27.139.146:554|server=Nuance Open Speech Recognizer for MRCPv1|setuptime=0.002|endpoint=10.27.130.171:9084	-
21:34:50	document dump	URL=/opt/holly/client/data/dnis/all.js|fetchtype=script|mimetype=test/javascript	-
21:34:50	note	message=enable full call recording|callrecording=/var/data/holly/data/call/2018/0607/2134/e4009-20180607213450757-078/call.wav	-
21:34:50	document transition	uri=call_initialization|cpu=0.000000|normalcpu=0.000000	-
21:34:50	fetch	uri=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.022|documentsize=195|outcome=success|failover=false|localport=51224|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=75|bytesread=418|byteswritten=217|cachedecision=nc(no expiration)|method=GET	-
21:34:50	document dump	URL=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|fetchtype=vxml|mimetype=text/html	-
21:34:50	document transition	uri=http://comcastvxmlapps/clients/comcast/indexes/eivr-qa-index.vxml.php?e=mc2|cpu=0.010000|normalcpu=0.010000	-
21:34:50	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/index.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.008|documentsize=11495|outcome=success|failover=false|localport=51226|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=60|bytesread=11854|byteswritten=322|cachedecision=nc(pragma no-cache)|method=GET	-
21:34:50	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/index.php|fetchtype=vxml|mimetype=text/html	-
21:34:50	fetch	uri=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.008|documentsize=5528|outcome=success|failover=false|localport=51228|hostname=comcastvxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=68|bytesread=5803|byteswritten=422|cachedecision=nc(pragma no-cache)|method=GET	-
21:34:50	document dump	URL=http://comcastvxmlapps/clients/comcast/testheader2/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html	-
21:34:50	asr session	asrengine=nuance90-mrcp1-comcast-n10|sessionid=FLBJNOFIAAAILBNJAAAAAAAA|address=10.27.131.82:554|server=Nuance Open Speech Recognizer for MRCPv1|setuptime=0.014|endpoint=10.27.131.82:8416	-
21:34:50	document transition	uri=http://comcastvxmlapps/clients/comcast/testheader2/index.php|cpu=0.020000|normalcpu=0.020000	-
